11 Boo N;11 Boo Lm;12 Ser N;12 Ser Lm;13 Lyr-Her N;13 Lyr-Her Lm;14 Cyg N;14 Cyg Lm;15 Dra-Her N;15 Dra-Her Lm;16 UMa-CVn N;16 UMa-CVn Lm;17 Aur N;17 Aur Lm;18 And N;18 And Lm;19 UMi-Dra N;19 UMi-Dra Lm;20 Cam N;20 Cam Lm
1;16;1;261;1;352;1;223;1;280;1;176;1;8;1;217;1;206;1;403
2;222;2;263;2;384;2;249;2;314;2;186;2;190;2;387;2;365;2;431
3;236;3;273;3;432;3;390;3;390;3;289;3;265;3;410;3;389;3;462
4;304;4;355;4;434;4;465;4;482;4;467;4;303;4;426;4;519;4;477
5;357;5;510;5;441;5;473;5;507;5;515;5;373;5;483;5;550;5;514
6;447;6;523;6;498;6;479;6;550;6;564;6;397;6;487;6;581;6;544
7;451;7;539;7;542;7;494;7;567;7;579;7;433;7;496;7;620;7;547
8;479;8;539;8;549;8;506;8;582;8;585;8;452;8;501;8;633;8;562
9;481;9;551;9;556;9;539;9;592;9;588;9;521;9;504;9;640;9;563
10;493;10;553;10;572;10;558;10;598;10;611;10;546;10;564;10;653;10;600
11;528;11;557;11;599;11;564;11;606;11;642;11;564;11;567;11;670;11;604
12;551;12;587;12;601;12;587;12;611;12;648;12;591;12;594;12;700;12;617
13;567;13;625;13;603;13;591;13;616;13;655;13;599;13;598;13;717;13;617
14;579;14;634;14;605;14;604;14;617;14;670;14;609;14;613;14;722;14;620
15;581;15;651;15;610;15;625;15;629;15;679;15;611;15;613;15;725;15;621
16;588;16;652;16;617;16;629;16;634;16;680;16;623;16;639;16;730;16;624
17;590;17;654;17;647;17;631;17;636;17;681;17;630;17;642;17;733;17;625
18;600;18;671;18;659;18;634;18;636;18;684;18;630;18;652;18;741;18;635
19;601;19;685;19;662;19;638;19;645;19;696;19;641;19;655;19;745;19;636
20;604;20;687;20;667;20;647;20;646;20;698;20;644;20;658;20;749;20;638
21;606;21;688;21;670;21;648;21;658;21;698;21;647;21;660;;;21;643
22;613;22;695;22;689;22;660;22;666;22;705;22;648;22;664;;;22;649
23;613;23;696;23;693;23;673;23;666;23;706;23;651;23;665;;;23;661
24;622;24;697;24;700;24;674;24;674;24;723;24;654;24;668;;;24;662
25;627;25;704;25;701;25;682;25;678;25;726;25;656;25;668;;;25;663
26;632;26;713;26;702;26;687;26;682;26;728;26;657;26;677;;;26;664
27;638;27;716;27;702;27;690;27;685;27;733;27;658;27;677;;;27;664
28;638;28;716;28;703;28;696;28;687;28;738;28;658;28;684;;;28;666
29;640;29;719;29;704;29;700;29;687;29;747;29;659;29;690;;;29;669
30;640;30;721;30;706;30;702;30;700;30;748;30;660;30;695;;;30;671
31;656;31;723;31;708;31;702;31;702;;;31;663;31;707;;;31;674
32;668;32;725;32;719;32;708;32;704;;;32;666;32;714;;;32;681
33;670;33;726;33;723;33;709;33;712;;;33;669;33;719;;;33;682
34;671;34;727;34;727;34;710;34;717;;;34;675;34;721;;;34;685
35;676;35;727;35;729;35;712;35;723;;;35;677;35;723;;;35;686
36;677;36;728;36;731;36;713;36;724;;;36;680;36;723;;;36;688
37;679;37;732;37;733;37;723;37;735;;;37;681;37;725;;;37;689
38;683;38;734;38;734;38;727;38;737;;;38;682;38;726;;;38;689
39;684;39;735;39;737;39;729;39;738;;;39;684;39;726;;;39;692
40;687;40;736;40;737;40;730;40;739;;;40;686;40;727;;;40;695
41;689;41;741;41;738;41;732;41;747;;;41;686;41;727;;;41;697
42;694;42;742;42;741;42;733;42;748;;;42;689;42;730;;;42;698
43;695;43;743;43;743;43;734;43;749;;;43;693;43;733;;;43;699
44;696;44;744;44;744;44;742;44;749;;;44;695;44;743;;;44;701
45;696;45;747;45;745;45;742;45;750;;;45;695;45;744;;;45;703
46;701;46;748;46;745;46;743;46;750;;;46;698;46;746;;;46;705
47;703;47;748;47;746;47;744;;;;;47;698;47;747;;;47;708
48;704;48;750;48;746;48;744;;;;;48;701;48;748;;;48;712
49;712;49;750;49;749;49;744;;;;;49;716;49;750;;;49;712
50;714;;;;;50;747;;;;;50;719;;;;;50;714
51;715;;;;;51;747;;;;;51;720;;;;;51;717
52;717;;;;;;;;;;;52;721;;;;;52;727
53;721;;;;;;;;;;;53;724;;;;;53;728
54;722;;;;;;;;;;;54;724;;;;;54;730
56;725;;;;;;;;;;;60;727;;;;;56;732
63;730;;;;;;;;;;;61;731;;;;;57;737
66;738;;;;;;;;;;;67;737;;;;;59;740
67;743;;;;;;;;;;;68;740;;;;;61;743
70;745;;;;;;;;;;;71;746;;;;;64;745
73;749;;;;;;;;;;;76;750;;;;;65;747
