21 Aqr N;21 Aqr Lm;22 Lep-Ori N;22 Lep-Ori Lm;23 Crv N;23 Crv Lm;24 Lib N;24 Lib Lm;25 Sco N;25 Sco Lm;26 TrA-Cen N;26 TrA-Cen Lm;27 Cru N;27 Cru Lm;28 Car N;28 Car Lm;29 Hyi N;29 Hyi Lm;30 Tuc-Pav N;30 Tuc-Pav Lm
1;123;1;28;1;259;1;261;1;107;1;-1;1;64;1;167;1;282;1;192
2;327;2;284;2;266;2;275;2;229;2;191;2;131;2;195;2;286;2;286
3;368;3;329;3;297;3;328;3;396;3;284;3;158;3;225;3;326;3;342
4;396;4;387;4;301;4;392;4;526;4;288;4;165;4;384;4;408;4;365
5;448;5;428;5;521;5;456;5;540;5;376;5;431;5;396;5;469;5;395
6;472;6;443;6;581;6;519;6;550;6;385;6;456;6;400;6;474;6;423
7;554;7;447;7;595;7;564;7;584;7;411;7;459;7;433;7;551;7;476
8;566;8;478;8;640;8;572;8;592;8;485;8;461;8;546;8;557;8;486
9;598;9;546;9;662;9;608;9;600;9;508;9;469;9;554;9;567;9;512
10;628;10;549;10;684;10;614;10;609;10;510;10;492;10;578;10;599;10;515
11;630;11;568;11;706;11;615;11;615;11;511;11;550;11;579;11;609;11;518
12;635;12;568;12;725;12;617;12;632;12;517;12;575;12;636;12;636;12;561
13;679;13;569;13;730;13;619;13;641;13;518;13;582;13;636;13;643;13;562
14;682;14;572;14;741;14;641;14;647;14;529;14;604;14;649;14;657;14;576
15;697;15;582;15;744;15;646;15;656;15;550;15;620;15;654;15;659;15;592
16;705;16;596;16;744;16;650;16;656;16;572;16;620;16;663;16;665;16;609
17;725;17;596;17;746;17;663;17;662;17;575;17;623;17;672;17;666;17;622
18;742;18;605;;;18;664;18;685;18;577;18;642;18;685;18;669;18;622
19;745;19;615;;;19;667;19;690;19;589;19;661;19;690;19;669;19;628
20;746;20;623;;;20;675;20;697;20;589;20;661;20;693;20;671;20;633
21;748;21;627;;;21;676;21;698;21;595;21;666;21;699;21;677;21;635
22;750;22;635;;;22;676;22;701;22;595;22;669;22;704;22;681;22;636
;;23;640;;;23;680;23;707;23;602;23;673;23;708;23;684;23;640
;;24;642;;;24;687;24;713;24;607;24;674;24;714;24;685;24;650
;;25;646;;;25;694;25;714;25;612;25;675;25;715;25;686;25;659
;;26;647;;;26;707;26;715;26;614;26;692;26;716;26;688;26;670
;;27;654;;;27;714;27;726;27;616;27;693;27;718;27;689;27;670
;;28;668;;;28;716;28;740;28;617;28;696;28;719;28;689;28;673
;;29;671;;;29;719;29;746;29;620;29;698;29;725;29;691;29;677
;;30;673;;;30;720;;;30;620;30;707;30;729;30;694;30;683
;;31;675;;;31;722;;;31;621;31;711;31;731;31;701;31;684
;;32;676;;;32;724;;;32;622;32;713;32;737;32;709;32;686
;;33;696;;;33;725;;;33;625;33;719;33;738;33;709;33;687
;;34;702;;;34;729;;;34;625;34;719;34;738;34;710;34;691
;;35;704;;;35;729;;;35;630;35;721;35;738;35;713;35;692
;;36;712;;;36;732;;;36;631;36;724;36;738;36;719;36;692
;;37;714;;;37;735;;;37;633;37;726;37;744;37;722;37;697
;;38;714;;;38;737;;;38;639;38;727;38;745;38;722;38;700
;;39;721;;;39;738;;;40;642;39;729;39;746;39;723;39;703
;;40;721;;;40;741;;;41;648;40;731;;;40;724;40;709
;;41;722;;;41;746;;;43;650;41;737;;;41;726;41;710
;;42;728;;;42;749;;;47;657;42;738;;;42;727;42;710
;;43;732;;;43;750;;;49;661;43;740;;;43;729;43;712
;;44;732;;;;;;;50;670;44;745;;;44;730;44;715
;;45;733;;;;;;;53;675;45;750;;;45;730;45;718
;;46;734;;;;;;;54;681;;;;;46;732;46;720
;;47;734;;;;;;;58;685;;;;;47;732;47;721
;;48;737;;;;;;;64;690;;;;;48;737;48;723
;;49;738;;;;;;;66;695;;;;;49;737;49;724
;;50;738;;;;;;;70;700;;;;;50;737;50;724
;;51;741;;;;;;;75;705;;;;;51;738;51;727
;;52;742;;;;;;;76;710;;;;;52;739;52;735
;;53;743;;;;;;;81;714;;;;;53;741;53;736
;;54;743;;;;;;;83;720;;;;;54;746;54;741
;;55;745;;;;;;;86;724;;;;;55;747;55;744
;;56;745;;;;;;;90;729;;;;;56;750;56;744
;;57;747;;;;;;;92;734;;;;;57;750;57;747
;;58;748;;;;;;;97;740;;;;;;;58;748
;;;;;;;;;;102;745;;;;;;;59;750
;;;;;;;;;;106;750;;;;;;;60;750
